"","scenario","climate.gcm","rcp","decade","manage.cost.rxfire.timberrev.transport.net_mean","manage.cost.rxfire.timberrev.transport.net_sd","all.costs.manage.timber.transport.rx.wildfire_mean","all.costs.manage.timber.transport.rx.wildfire_sd","wildfire.cost_mean","wildfire.cost_sd","chips.green.to.gen.mtons_mean","chips.green.to.gen.mtons_sd","timber.biomass.rev.post.trans.net_mean","timber.biomass.rev.post.trans.net_sd","timber.cuft.annualavg_mean","timber.cuft.annualavg_sd","biomass.cut.mtons_mean","biomass.cut.mtons_sd","cumulative.sequestration.allpools.mtons.carbon.decadeavg_mean","cumulative.sequestration.allpools.mtons.carbon.decadeavg_sd"
"185","3","CNRM",4.5,"(40,50]",1483123.04191809,355499.101294817,3610581.51115522,2362031.14879945,2127458.46923713,2141608.90007417,3271.63021857816,824.318675093709,433786.211076887,92370.6038323659,927491.916870503,24209.1123209148,49045.0977879006,2631.49758617368,447492.257920378,71824.7561069129
"186","3","CNRM",4.5,"(50,60]",1681427.21880223,386018.994626542,3925589.18836367,2311311.3187999,2244161.96956144,2153615.41460468,3474.99810738472,666.583330073794,469676.85983135,80183.1192834684,1022155.24689641,76641.4058909597,56335.8861820516,6101.64348439587,518554.931627054,88216.7990652816
"187","3","CNRM",4.5,"(60,70]",2016484.74577858,521715.942903908,3694757.51013789,2385713.31662081,1678272.76435931,2117788.35702906,3778.09951256256,918.563512527797,497301.069809396,94660.9695650947,1104528.33471563,87563.744438971,63506.2032263446,6637.76347225236,628027.396614259,112504.759848418
"188","3","CNRM",4.5,"(70,80]",2327360.95780202,639162.528414325,3681722.67265668,1622474.03491509,1354361.71485466,1434388.73656658,4119.32349273162,1316.1489393859,550248.879038037,125373.35569958,1237130.02793637,81541.9514088779,72502.96568513,6098.2397468622,745573.749573669,144564.350731515
"189","3","CNRM",4.5,"(80,90]",2445055.5379467,531687.515416907,5216722.93366571,3674014.0310968,2771667.39571902,3411437.34340317,4188.28325334268,1190.76005985333,573707.153717887,132636.262753513,1299113.27902346,77389.8130278487,76964.1947019683,5570.81514700378,861744.659232646,164269.016705078
"190","3","CNRM",4.5,"(90,100]",2508724.73258995,541375.708750303,3512079.7055293,1596448.40437255,1003354.97293935,1296968.55157798,4198.36411271033,1082.79321276523,587053.773128778,117258.244948862,1347725.47558718,101337.926979175,79769.9983872429,7297.00190371004,922648.801839121,186061.582761376
"191","3","CNRM",8.5,"(0,10]",5067482.00391415,487540.337268229,5761031.60224597,1103526.47296581,693549.598331822,881266.088376921,16565.3138319704,1384.56080883941,1667674.34557835,140100.005496472,3492515.9839259,20163.876868417,186979.922882533,1161.42333880717,-26408.8098104781,30113.6344638634
"192","3","CNRM",8.5,"(10,20]",1893617.96035454,255431.114365361,3259651.20385357,1830341.27783215,1366033.24349903,1701540.04229324,5328.13012746469,481.300323645633,731575.209876996,62713.2420556718,1524169.18833543,19740.4490469406,77761.1444921531,1714.5827247567,63901.8472860506,66431.9975230197
"193","3","CNRM",8.5,"(20,30]",1527216.2047958,352141.529781343,2678014.08347281,1604399.9972687,1150797.87867702,1442270.98018795,4275.4714216179,1118.1672207595,552392.765159294,95454.078282937,1111580.00543161,39732.0173613629,55266.6265815964,3172.23636105042,251537.171929952,76506.9864302277
"194","3","CNRM",8.5,"(30,40]",1350366.3964941,305840.439576262,2481063.18880686,1666934.24316976,1130696.79231276,1541452.38863639,3154.24641737802,679.287914006591,434057.065838024,79254.7153495195,915459.772418865,57362.2000750304,47596.1322936476,4255.24451692296,403638.970642253,82044.446086317
"195","3","CNRM",8.5,"(40,50]",1494439.43789925,305143.59733812,2950681.21907672,1589939.71809135,1456241.78117746,1445093.86891769,3383.48325636748,681.769135358207,449113.540828401,75685.2569667623,957037.430236574,58168.7447635994,50627.3611648685,4756.71232249248,534337.678898019,96850.46288633
"196","3","CNRM",8.5,"(50,60]",1803392.5197383,367804.727470633,4044752.84726276,2840110.9271064,2241360.32752447,2700530.52204384,3566.01784474042,665.855818620191,487781.855072632,82351.1120899708,1072793.5885981,50940.8571535607,60280.0694776348,2841.27100877931,647096.193929285,95597.8612548803
"197","3","CNRM",8.5,"(60,70]",2385692.94070874,533666.948621835,4257094.42247922,2149381.68331789,1871401.48177048,1836528.15077357,4296.78808709979,1117.29681569263,562910.825023652,121738.241611651,1270388.87732889,34577.2179290976,74985.3252800942,3006.7332032179,749925.023885484,119997.034356923
"198","3","CNRM",8.5,"(70,80]",2609910.74571366,485995.133058038,3953725.48988378,1933395.85260777,1343814.74417012,1690347.01358938,4332.18259816982,1024.15790512317,603325.99529331,112690.837167821,1385084.75622475,26736.7982166652,82933.2571063177,2901.82320030229,875074.938974461,133842.168236685
"199","3","CNRM",8.5,"(80,90]",2827123.72846595,537095.297568044,4301195.86132326,2124547.68489745,1474072.13285731,1856819.33196681,4699.67177505891,1118.18137959646,664412.475989384,137315.057658793,1504162.08510632,39835.6493649777,89070.3939108249,3926.67248660215,993027.852552883,159841.052910458
"200","3","CNRM",8.5,"(90,100]",3015880.26447514,616272.325832554,3767678.56813883,1531560.42866586,751798.303663684,1087140.33384476,5180.7364818371,1511.12507156019,743782.025940201,181492.807314775,1673387.29636093,18503.8819590626,96968.8644661202,1971.53529064867,1083113.93748966,191832.372776666
"201","3","HADGEM2",4.5,"(0,10]",5053387.72852747,436553.707609186,5566279.39801293,983928.746149609,512891.669485464,698804.914608245,16424.9563889481,1416.40917938414,1654041.25331006,141842.581074213,3461826.47432846,26314.3512234364,185938.357548972,1589.27693423448,-27093.4320506224,32354.8777947064
